PERSONID,CASE,NHOODBUR,NHOODRES,XRESID,YRESID,B_MINOR,B_ADULT,B_NATIVE,B_FOREIGN
232,67,5182812,5183824,81650.7969,452478.25,0,1,1,0
233,763,5183284,5183032,79680.5469,454086.25,0,1,1,0
234,326,5182569,5183387,77469.8516,451250.9063,0,1,1,0
234,327,5182569,5183387,77469.8516,451250.9063,0,1,1,0
234,341,5182569,5183387,77469.8516,451250.9063,0,1,1,0
234,343,5182569,5183387,77469.8516,451250.9063,0,1,1,0
234,344,5182569,5183387,77469.8516,451250.9063,0,1,1,0
234,345,5182569,5183387,77469.8516,451250.9063,0,1,1,0
234,349,5182569,5183387,77469.8516,451250.9063,0,1,1,0
235,989,5182144,5182915,80407.9531,453804.25,0,1,0,1
236,282,5182916,5182718,81784,454251.1875,0,1,1,0
237,387,5180271,5180271,79926.1016,458832,0,1,0,1
238,273,5182718,5182813,81780.9531,454949.1875,0,1,0,1
239,766,5183284,5183032,79680.5469,454086.25,1,0,1,0
240,1081,5181786,5181840,76436.1016,452959.6875,0,1,1,0
241,1024,5182144,5182763,82176.1484,454874.5625,0,1,0,1
242,680,5183396,5183396,77835.8516,450825.9063,0,1,1,0
243,260,5182762,5182762,82459.75,454470.3438,0,1,0,1
244,953,5182054,5183825,82303.0469,453033.5938,0,1,0,1
245,791,5183130,5182917,81329.0469,453600.5938,1,0,0,1
246,808,5181983,5181251,77820.1016,454952.3438,0,1,1,0
247,65,5182916,5182814,81120.5469,454567.0625,0,1,1,0
248,377,5180704,5182054,78339.8516,454245.4063,1,0,1,0
249,825,5183130,5183480,79166.1484,451177.6563,0,1,0,1
249,847,5183130,5183480,79166.1484,451177.6563,0,1,0,1
250,607,5183819,5183819,82303.2969,453791.1563,1,0,1,0
251,4,5180546,5182055,78845.75,454514.6563,0,1,1,0
252,135,5182915,5182915,80407.9531,453804.25,0,1,0,1
253,37,5182814,5180907,79029.2031,456776,0,1,0,1
254,609,5183819,5182812,81309.1016,455385.5938,0,1,1,0
255,1111,5182763,5183826,82782.2031,453355.3125,1,0,1,0
256,373,5180374,5182665,83030,455412.9375,0,1,1,0
256,376,5180271,5182665,83030,455412.9375,0,1,1,0
257,852,5183480,5180800,77183.8516,456225.8125,0,1,0,1
258,244,5182718,5183488,78431.6484,451757.75,0,1,1,0
259,41,5182347,5183033,79902.9531,453745.3125,0,1,0,1
259,90,5182347,5183033,79902.9531,453745.3125,0,1,0,1
259,284,5182347,5183033,79902.9531,453745.3125,0,1,0,1
259,999,5181953,5183033,79902.9531,453745.3125,0,1,0,1
260,681,5183387,5183396,77835.8516,450825.9063,0,1,0,1
261,823,5183823,5182110,79695.7031,454606.0938,0,1,0,1
262,1022,5182110,5182110,79695.7031,454606.0938,0,1,0,1
263,53,5182110,5182054,78339.8516,454245.4063,0,1,1,0
264,507,5183823,5183823,81270.3984,452117.3438,0,1,1,0
265,1002,5182110,5182110,79695.7031,454606.0938,0,1,0,1
265,1018,5182110,5182110,79695.7031,454606.0938,1,0,0,1
266,112,5183032,5182916,81017.2969,453945.5,0,1,0,1
266,243,5182916,5182916,81017.2969,453945.5,0,1,0,1
266,1026,5181983,5182916,81017.2969,453945.5,0,1,0,1
267,1092,5181840,5182665,83030,455412.9375,0,1,1,0
268,89,5182812,5182718,81784,454251.1875,0,1,0,1
269,764,5183130,5182915,80407.9531,453804.25,1,0,0,1
270,833,5182812,5183826,82782.2031,453355.3125,0,1,0,1
271,639,5183825,5181786,77036.8984,452269.1563,0,1,1,0
272,422,5182055,5182055,78845.75,454514.6563,0,1,0,1
272,466,5181309,5182055,78845.75,454514.6563,0,1,0,1
272,471,5182055,5182055,78845.75,454514.6563,0,1,0,1
273,1017,5181953,5182110,79695.7031,454606.0938,0,1,0,1
274,1052,5181786,5180908,78450.1016,456681.9375,0,1,1,0
275,1050,5183284,5183488,78431.6484,451757.75,0,1,1,0
276,111,5183033,5183033,79902.9531,453745.3125,0,1,0,1
277,299,5182666,5182666,83471.25,455735.3438,1,0,1,0
278,492,5183819,5182110,79695.7031,454606.0938,0,1,0,1
279,1000,5182055,5182055,78845.75,454514.6563,0,1,1,0
280,115,5183721,5183721,80569.1016,452847.8438,0,1,1,0
281,836,5183135,5183824,81650.7969,452478.25,0,1,1,0
282,56,5182811,5182718,81784,454251.1875,1,0,1,0
283,421,5180907,5180907,79029.2031,456776,0,1,1,0
284,241,5183637,5181697,75119.2031,450985.5938,0,1,0,1
284,242,5183637,5181697,75119.2031,450985.5938,0,1,0,1
285,49,5183284,5180704,79209.1016,457792.3125,0,1,1,0
286,767,5184027,5182917,81329.0469,453600.5938,0,1,0,1
287,508,5183822,5181143,79451.5,455426.1875,0,1,0,1
288,62,5182814,5182811,80604.7969,454961.75,1,0,0,1
289,1114,5182812,5183819,82303.2969,453791.1563,1,0,1,0
290,878,5183398,5183819,82303.2969,453791.1563,0,1,0,1
